SAC;Severidade;Tipo da pendencia;Problema;Coluna / campo;Valor atual;Referencia;Equipamento / item
24;Bloqueia;Equipamento sem numero de serie;Categoria é Equipamento na linha Excel 30, mas Nº Série está vazio ou inválido. Equipamento precisa de serial.;Nº Série;S/N;;
32;Bloqueia;Equipamento sem numero de serie;Categoria é Equipamento na linha Excel 38, mas Nº Série está vazio ou inválido. Equipamento precisa de serial.;Nº Série;S/N;FIX-0040;Micropipeta monocanal série exclusive volume fixo 10microlitro
32;Bloqueia;Equipamento sem numero de serie;Categoria é Equipamento na linha Excel 39, mas Nº Série está vazio ou inválido. Equipamento precisa de serial.;Nº Série;S/N;VIX-500;Micropipeta Monocanal Série Exclusive Volume Variável 10~100microlitro
32;Bloqueia;Equipamento sem numero de serie;Categoria é Equipamento na linha Excel 40, mas Nº Série está vazio ou inválido. Equipamento precisa de serial.;Nº Série;S/N;VIX-700;Micropipeta monocanal série exclusive volume variável 100~1000microlitro
33;Bloqueia;Equipamento sem numero de serie;Categoria é Equipamento na linha Excel 41, mas Nº Série está vazio ou inválido. Equipamento precisa de serial.;Nº Série;S/N;PH-300S;Phmetro de bolso c/atc ph de 0,00 a 14,00
54;Bloqueia;Item nao encontrado na nota fiscal;O item informado na linha Excel 68 não foi localizado na base de itens da NF 673.;Referencia / Equipamento;BJ100 / Copo de Bequer 50 ML, graduado em alto relevo, Fabricado em PP, com alça;BJ100;Copo de Bequer 50 ML, graduado em alto relevo, Fabricado em PP, com alça
56;Bloqueia;Equipamento sem numero de serie;Categoria é Equipamento na linha Excel 70, mas Nº Série está vazio ou inválido. Equipamento precisa de serial.;Nº Série;S/N;;
73;Bloqueia;Item nao encontrado na nota fiscal;O item informado na linha Excel 93 não foi localizado na base de itens da NF 800.;Referencia / Equipamento;1101-200 / Copo de béquer forma baixa griffin em vidro boro 3.3 graduado, de 200ml;1101-200;Copo de béquer forma baixa griffin em vidro boro 3.3 graduado, de 200ml
83;Bloqueia;Item nao encontrado na nota fiscal;O item informado na linha Excel 120 não foi localizado na base de itens da NF 910.;Referencia / Equipamento;1175-50 / Vidro de relógio borossilicato 050mm;1175-50;Vidro de relógio borossilicato 050mm
95;Bloqueia;Equipamento sem numero de serie;Categoria é Equipamento na linha Excel 135, mas Nº Série está vazio ou inválido. Equipamento precisa de serial.;Nº Série;S/N;DC103;TERMOHIGROMETRO - TERMOMETRO MÁXIMA/MÍNIMA -10 A 50°C INDOOR/OUTDOOR, HIGROMETRO UR 20% A 90%
95;Bloqueia;Equipamento sem numero de serie;Categoria é Equipamento na linha Excel 136, mas Nº Série está vazio ou inválido. Equipamento precisa de serial.;Nº Série;S/N;DC103;TERMOHIGROMETRO - TERMOMETRO MÁXIMA/MÍNIMA -10 A 50°C INDOOR/OUTDOOR, HIGROMETRO UR 20% A 90%
103;Bloqueia;Equipamento sem numero de serie;Categoria é Equipamento na linha Excel 160, mas Nº Série está vazio ou inválido. Equipamento precisa de serial.;Nº Série;S/N;;
103;Bloqueia;Item nao encontrado na nota fiscal;O item informado na linha Excel 158 não foi localizado na base de itens da NF 1086.;Referencia / Equipamento;BJ1000 / Copo de Bequer 1000 ML, graduado em alto relevo, Fabricado em PP, com alça;BJ1000;Copo de Bequer 1000 ML, graduado em alto relevo, Fabricado em PP, com alça
103;Bloqueia;Item nao encontrado na nota fiscal;O item informado na linha Excel 159 não foi localizado na base de itens da NF 1086.;Referencia / Equipamento;OG-200 / Câmara de neubauer espelhada;OG-200;Câmara de neubauer espelhada
117;Bloqueia;Equipamento sem numero de serie;Categoria é Equipamento na linha Excel 176, mas Nº Série está vazio ou inválido. Equipamento precisa de serial.;Nº Série;;;
119;Bloqueia;Cliente nao identificado;Sem Cód. Cli na planilha. Precisa informar o código do cliente para vincular ao cadastro.;Cód. Cli;;;
119;Bloqueia;Nota fiscal nao informada;Sem Nota Fiscal Venda na planilha. Precisa informar a NF para vincular itens e dados oficiais.;Nota Fiscal Venda;;;
120;Bloqueia;Equipamento sem numero de serie;Categoria é Equipamento na linha Excel 180, mas Nº Série está vazio ou inválido. Equipamento precisa de serial.;Nº Série;;ECB-90D-BI;Estufa cultura bacteriologica, temperatura de trablho até 80°C, 90 Litros, Bivolt
121;Bloqueia;Item nao encontrado na nota fiscal;O item informado na linha Excel 182 não foi localizado na base de itens da NF 1216.;Referencia / Equipamento;CL-332 / Modelo do sistema urogenital feminino;CL-332;Modelo do sistema urogenital feminino
123;Bloqueia;Cliente nao identificado;Sem Cód. Cli na planilha. Precisa informar o código do cliente para vincular ao cadastro.;Cód. Cli;;;
123;Bloqueia;Nota fiscal nao informada;Sem Nota Fiscal Venda na planilha. Precisa informar a NF para vincular itens e dados oficiais.;Nota Fiscal Venda;;;
127;Bloqueia;Item nao encontrado na nota fiscal;O item informado na linha Excel 191 não foi localizado na base de itens da NF 1040.;Referencia / Equipamento;TITAN-12-220V / Centrifuga digital titan até 5000rpm prp-prf 12x10 ml - registro anvisa n°80815670010;TITAN-12-220V;Centrifuga digital titan até 5000rpm prp-prf 12x10 ml - registro anvisa n°80815670010
128;Bloqueia;Cliente nao identificado;Sem Cód. Cli na planilha. Precisa informar o código do cliente para vincular ao cadastro.;Cód. Cli;;;
128;Bloqueia;Nota fiscal nao informada;Sem Nota Fiscal Venda na planilha. Precisa informar a NF para vincular itens e dados oficiais.;Nota Fiscal Venda;;;
130;Bloqueia;Cliente nao identificado;Sem Cód. Cli na planilha. Precisa informar o código do cliente para vincular ao cadastro.;Cód. Cli;;;
130;Bloqueia;Equipamento sem numero de serie;Categoria é Equipamento na linha Excel 196, mas Nº Série está vazio ou inválido. Equipamento precisa de serial.;Nº Série;;;
130;Bloqueia;Nota fiscal nao informada;Sem Nota Fiscal Venda na planilha. Precisa informar a NF para vincular itens e dados oficiais.;Nota Fiscal Venda;;;
134;Bloqueia;Cliente nao identificado;Sem Cód. Cli na planilha. Precisa informar o código do cliente para vincular ao cadastro.;Cód. Cli;;;
134;Bloqueia;Nota fiscal nao informada;Sem Nota Fiscal Venda na planilha. Precisa informar a NF para vincular itens e dados oficiais.;Nota Fiscal Venda;;;
139;Bloqueia;Cliente nao identificado;Sem Cód. Cli na planilha. Precisa informar o código do cliente para vincular ao cadastro.;Cód. Cli;;;
139;Bloqueia;Nota fiscal nao informada;Sem Nota Fiscal Venda na planilha. Precisa informar a NF para vincular itens e dados oficiais.;Nota Fiscal Venda;;;
142;Bloqueia;Cliente nao identificado;Sem Cód. Cli na planilha. Precisa informar o código do cliente para vincular ao cadastro.;Cód. Cli;;;
142;Bloqueia;Equipamento sem numero de serie;Categoria é Equipamento na linha Excel 209, mas Nº Série está vazio ou inválido. Equipamento precisa de serial.;Nº Série;S/N;DC103;TERMOHIGROMETRO - TERMOMETRO MÁXIMA/MÍNIMA -10 A 50°C INDOOR/OUTDOOR, HIGROMETRO UR 20% A 90%
142;Bloqueia;Nota fiscal nao informada;Sem Nota Fiscal Venda na planilha. Precisa informar a NF para vincular itens e dados oficiais.;Nota Fiscal Venda;;;
144;Bloqueia;Cliente nao identificado;Sem Cód. Cli na planilha. Precisa informar o código do cliente para vincular ao cadastro.;Cód. Cli;;;
144;Bloqueia;Nota fiscal nao informada;Sem Nota Fiscal Venda na planilha. Precisa informar a NF para vincular itens e dados oficiais.;Nota Fiscal Venda;;;
155;Bloqueia;Equipamento sem numero de serie;Categoria é Equipamento na linha Excel 223, mas Nº Série está vazio ou inválido. Equipamento precisa de serial.;Nº Série;;1177-100X20;Placa de petri em vidro c/tampa 100x20mm
159;Bloqueia;Cliente nao identificado;Sem Cód. Cli na planilha. Precisa informar o código do cliente para vincular ao cadastro.;Cód. Cli;;;
159;Bloqueia;Nota fiscal nao informada;Sem Nota Fiscal Venda na planilha. Precisa informar a NF para vincular itens e dados oficiais.;Nota Fiscal Venda;;;
174;Bloqueia;Equipamento sem numero de serie;Categoria é Equipamento na linha Excel 250, mas Nº Série está vazio ou inválido. Equipamento precisa de serial.;Nº Série;;IL-593-S-BI;Espectrofotômetro digital uv-visível faixa 190-1100nm c/varredura banda 2 nm
174;Bloqueia;Item nao encontrado na nota fiscal;O item informado na linha Excel 250 não foi localizado na base de itens da NF 2081.;Referencia / Equipamento;IL-593-S-BI / Espectrofotômetro digital uv-visível faixa 190-1100nm c/varredura banda 2 nm;IL-593-S-BI;Espectrofotômetro digital uv-visível faixa 190-1100nm c/varredura banda 2 nm
175;Bloqueia;Equipamento sem numero de serie;Categoria é Equipamento na linha Excel 251, mas Nº Série está vazio ou inválido. Equipamento precisa de serial.;Nº Série;;CRAFET-115-220V;Estufa digital de esterilização e secagem com circulação e renovação de ar forçada, 115 L, até 250°C
176;Bloqueia;Equipamento sem numero de serie;Categoria é Equipamento na linha Excel 252, mas Nº Série está vazio ou inválido. Equipamento precisa de serial.;Nº Série;;EESCRAF-115D-BI;ESTUFA DE ESTERILIZAÇÃO E SECAGEM DIGITAL COM CIRCULAÇÃO E RENOVAÇÃO DE AR, AQUEC 300°C 115L
177;Bloqueia;Equipamento sem numero de serie;Categoria é Equipamento na linha Excel 253, mas Nº Série está vazio ou inválido. Equipamento precisa de serial.;Nº Série;;PH-002;pHmetro Portátil pH 0,0 a 14 PH-002
